patientID,team,175,168,172,176,188,166,108,124,101,144,183,196,123,160,157
41,2,421,300.71,475.36,301.75,2.77,122.93,319.87,177.92,60417.04,918.28,-1.81,131.01,789.69,-24.27,26.71
42,2,671.81,712.11,272.11,769.34,58.82,450.23,768.31,168.92,39994.63,1263.17,125.46,131.05,393.43,16.36,4.77
43,2,367.18,932.8,111.47,1128.13,76.29,259.73,636.39,112.77,29699.38,558.7,117.39,-24.79,213.4,-17.22,-15.82
44,2,397.3,939.26,427.18,890.38,-30.99,283.84,724.77,754.75,37382.06,-4.74,-77.13,25.56,316.99,-23.86,1.62
45,2,624.55,720.87,151.92,672.22,-27.21,199.26,645.88,885.81,38226.26,-59.76,58.35,542.39,9127.8,-38.95,-16.44
46,2,611.44,557.71,124.58,679.83,-3.96,261.38,966.05,718.63,33894.83,770.76,114.87,25.81,966.63,-47.04,-25.15
47,2,589.96,627.5,216.28,588.58,47.05,556.92,752.38,424.52,8028.74,1186.29,30.58,262.24,338.48,33.47,45.7
48,2,666.47,645.27,152.35,816.5,165.63,83.11,1396.46,124.83,6290.85,917.79,230.85,-5.12,360,-29.05,-10.99
49,2,525.98,537.41,388.9,625.17,65.64,236.98,788.36,414.55,6504.13,5721.25,276.18,47.23,956.86,-48.4,-12.32
50,2,483.19,575.89,117.03,763.03,132.27,236.18,2003.87,1118.91,23566.36,947.23,212.68,198.34,345.89,-60.82,-46.89
51,2,656.6,820.09,181.15,887.09,149.48,94.55,708.82,115.61,28257.92,1425.38,319.09,118.29,99.34,10.24,-0.22
52,2,501.47,541.28,250.72,747.55,95.83,574.7,1309.35,44.23,47764.08,2121.04,517.63,-78.35,107.64,-11.64,-3.65
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
